Country,Biome,Bait_Type,TotalAntBaitType,newAttr,Site_ID,Latitude,Longitude,Date,Habitat_type,Elevation,Distance_from_shore,Precipitation,Temperature,Contributor,Site_Details,Number_of_Ants,Percent_of_Baits_with_Ants
Finland,Woodland/Shrubland,Amino Acids,2,,278,63.0902,25.8366,,forest edge,155,152,589,2.5,Sorvari,1/1/2001,0,0
Finland,Woodland/Shrubland,Amino Acids,2,,282,65.4416,29.6259,,Bushy forest road,260,202,588,-0.1,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Amino Acids,2,,279,63.1143,25.8004,,forest edge,115,153,590,2.4,Sorvari,2/1/2001,0,0
Finland,Woodland/Shrubland,Amino Acids,2,,283,59.8438,23.2024,,sand dune - pine forest,10,4,604,5.3,Sorvari,Hankoniemi,0,0
Finland,Woodland/Shrubland,Amino Acids,2,,281,65.449,29.5654,,Open pine forest,222,204,585,0,Sorvari,Hossa1,1,20
Finland,Woodland/Shrubland,Amino Acids,2,,286,60.4383,22.1995,,Broad-leaf Forest,16,1,665,5.2,Sorvari,Ruissalo Turku,0,0
Finland,Woodland/Shrubland,Amino Acids,2,,280,63.8474,27.4453,,Forest edge - pine bog,140,150,573,1.7,Sorvari,Sukeva,0,0
Finland,Woodland/Shrubland,Amino Acids,2,,284,60.4557,22.2835,,rocky forest,50,25,672,5.2,Sorvari,University hill Turku,1,20
Finland,Woodland/Shrubland,Amino Acids,2,,285,60.6306,22.3104,,Pine Forest,50,2,676,4.8,Sorvari,Vahto,0,0
Finland,Woodland/Shrubland,Cookie,139,,278,63.0902,25.8366,,forest edge,155,152,589,2.5,Sorvari,1/1/2001,4,40
Finland,Woodland/Shrubland,Cookie,139,,282,65.4416,29.6259,,Bushy forest road,260,202,588,-0.1,Sorvari,2/1/2001,10,100
Finland,Woodland/Shrubland,Cookie,139,,279,63.1143,25.8004,,forest edge,115,153,590,2.4,Sorvari,2/1/2001,3,20
Finland,Woodland/Shrubland,Cookie,139,,283,59.8438,23.2024,,sand dune - pine forest,10,4,604,5.3,Sorvari,Hankoniemi,42,60
Finland,Woodland/Shrubland,Cookie,139,,281,65.449,29.5654,,Open pine forest,222,204,585,0,Sorvari,Hossa1,9,60
Finland,Woodland/Shrubland,Cookie,139,,286,60.4383,22.1995,,Broad-leaf Forest,16,1,665,5.2,Sorvari,Ruissalo Turku,10,40
Finland,Woodland/Shrubland,Cookie,139,,280,63.8474,27.4453,,Forest edge - pine bog,140,150,573,1.7,Sorvari,Sukeva,1,20
Finland,Woodland/Shrubland,Cookie,139,,284,60.4557,22.2835,,rocky forest,50,25,672,5.2,Sorvari,University hill Turku,52,40
Finland,Woodland/Shrubland,Cookie,139,,285,60.6306,22.3104,,Pine Forest,50,2,676,4.8,Sorvari,Vahto,8,40
Finland,Woodland/Shrubland,Sugar,211,,278,63.0902,25.8366,,forest edge,155,152,589,2.5,Sorvari,1/1/2001,9,80
Finland,Woodland/Shrubland,Sugar,211,,282,65.4416,29.6259,,Bushy forest road,260,202,588,-0.1,Sorvari,2/1/2001,5,60
Finland,Woodland/Shrubland,Sugar,211,,279,63.1143,25.8004,,forest edge,115,153,590,2.4,Sorvari,2/1/2001,9,40
Finland,Woodland/Shrubland,Sugar,211,,283,59.8438,23.2024,,sand dune - pine forest,10,4,604,5.3,Sorvari,Hankoniemi,32,60
Finland,Woodland/Shrubland,Sugar,211,,281,65.449,29.5654,,Open pine forest,222,204,585,0,Sorvari,Hossa1,54,60
Finland,Woodland/Shrubland,Sugar,211,,286,60.4383,22.1995,,Broad-leaf Forest,16,1,665,5.2,Sorvari,Ruissalo Turku,1,20
Finland,Woodland/Shrubland,Sugar,211,,280,63.8474,27.4453,,Forest edge - pine bog,140,150,573,1.7,Sorvari,Sukeva,9,60
Finland,Woodland/Shrubland,Sugar,211,,284,60.4557,22.2835,,rocky forest,50,25,672,5.2,Sorvari,University hill Turku,19,40
Finland,Woodland/Shrubland,Sugar,211,,285,60.6306,22.3104,,Pine Forest,50,2,676,4.8,Sorvari,Vahto,73,40
Finland,Woodland/Shrubland,Water,2,,278,63.0902,25.8366,,forest edge,155,152,589,2.5,Sorvari,1/1/2001,0,0
